title,description,url,publishedAt,source,sector
"Kevin O'Leary Made Big Bets On 'Crypto Infrastructure' Firms Like Circle, Coinbase And Robinhood – Now Aims To Bring Playbook To AI","Renowned investor and “Shark Tank” personality Kevin O’Leary revealed his pick-and-shovel strategy for cryptocurrency infrastructure companies, including...",https://finance.yahoo.com/news/kevin-oleary-made-big-bets-083106727.html,2025-08-20T08:31:06Z,Yahoo Entertainment,Technology
Trump slams 'anti-American' pushback after fresh delay to Arizona copper mine,"Two of the world's largest mining firms, Rio Tinto and BHP have been trying to develop Resolution Copper for roughly two decades.",https://www.cnbc.com/2025/08/20/copper-trump-slams-anti-american-pushback-over-arizona-project.html,2025-08-20T08:28:18Z,CNBC,Technology
Mizuho Increases Credo Technology (CRDO) Price Target on AI Deployments,"Credo Technology Group Holding Ltd. (NASDAQ:CRDO) is one of the best Russell 2000 stocks to buy now. On August 13, Mizuho Securities raised its price target ...",https://finance.yahoo.com/news/mizuho-increases-credo-technology-crdo-043406176.html,2025-08-20T04:34:06Z,Yahoo Entertainment,Technology
Thai Data Center Capacity May Triple on Surging Demand for AI,"The nation’s capacity is expected to rise to about 1 gigawatts in 2027 from 350 megawatts in 2024, said Supparat Singhara Na Ayutthaya, vice chairman of the ...",https://finance.yahoo.com/news/thai-data-center-capacity-may-041147405.html,2025-08-20T04:11:47Z,Yahoo Entertainment,Technology
SoftBank Group shares plunge over 9% as Asian tech stocks decline,"Losses were also seen in other technology stocks in South Korea, Taiwan and Hong Kong.",https://www.cnbc.com/2025/08/20/softbank-group-shares-plunge-over-9percent-as-asian-tech-stocks-decline-.html,2025-08-20T02:47:18Z,CNBC,Technology
CNBC Daily Open: Not even fire extinguishers can escape the Trump administration's tariffs,"Even as tariff-related ruction appears to be settling down, U.S. President Donald Trump is still reshaping global trade and industry — and everyday life.",https://www.cnbc.com/2025/08/20/cnbc-daily-open-not-even-fire-extinguishers-can-escape-trump-tariffs.html,2025-08-20T01:07:01Z,CNBC,Technology
Autodesk (ADSK) Flow Studio Brings Hollywood-Style AI VFX to More Creators,"Autodesk, Inc. (NASDAQ:ADSK) is one of the AI Stocks In The Spotlight For Investors. On August 12, the company announced the launch of new, more affordable...",https://finance.yahoo.com/news/autodesk-adsk-flow-studio-brings-233724820.html,2025-08-19T23:37:24Z,Yahoo Entertainment,Technology
Meta Platforms (META) Accelerates AI Race With New Lab Structure,"Meta Platforms, Inc. (NASDAQ:META) is one of the AI Stocks In The Spotlight For Investors. On August 15, The Information reported that Meta is planning its...",https://finance.yahoo.com/news/meta-platforms-meta-accelerates-ai-232601396.html,2025-08-19T23:26:01Z,Yahoo Entertainment,Technology
Alphabet (GOOGL) Boosts Capex With $9B AI and Cloud Expansion,"Alphabet Inc. (NASDAQ:GOOGL) is one of the AI Stocks In The Spotlight For Investors. On August 14, Alphabet’s Google pledged that it will spend an additional...",https://finance.yahoo.com/news/alphabet-googl-boosts-capex-9b-231941472.html,2025-08-19T23:19:41Z,Yahoo Entertainment,Technology
Fortinet (FTNT) Downgraded to Hold: Analyst Warns of Slower Growth Ahead,"Fortinet, Inc. (NASDAQ:FTNT) is one of the AI Stocks On Wall Street’s Radar. On August 14, Erste Group analyst Hans Engel downgraded the stock from Buy to...",https://finance.yahoo.com/news/fortinet-ftnt-downgraded-hold-analyst-224936429.html,2025-08-19T22:49:36Z,Yahoo Entertainment,Technology
Nvidia (NVDA) Sees a More Significant Dip Than Broader Market: Some Facts to Know,"In the closing of the recent trading day, Nvidia (NVDA) stood at $175.64, denoting a -3.5% move from the preceding trading day.",https://finance.yahoo.com/news/nvidia-nvda-sees-more-significant-214502600.html,2025-08-19T21:45:02Z,Yahoo Entertainment,Technology
Private Credit Sees AI Opportunity After Meta's $29B Deal,"The huge financing needs for developing artificial intelligence are attracting private credit firms, including some that competed for months to give Meta $29...",https://finance.yahoo.com/video/private-credit-sees-ai-opportunity-211230967.html,2025-08-19T21:12:30Z,Yahoo Entertainment,Technology
Healthy Returns: New study casts doubts on RFK Jr.'s reasons for gutting key vaccine panel,"Conflicts of interest on government vaccine panels were at historic lows before RFK Jr.'s overhaul, while Epic touts new AI tools at annual Users Group Meeting.",https://www.cnbc.com/2025/08/19/healthy-returns-new-study-casts-doubts-on-rfk-jrs-reasons-for-gutting-vaccine-panel.html,2025-08-19T20:03:01Z,CNBC,Technology
"Palantir stock slumps 9%, falling for a fifth-straight day from record",Palantir's stock fell for a fifth straight day to continue its pullback from all-time highs.,https://www.cnbc.com/2025/08/19/palantir-stock-down.html,2025-08-19T19:22:08Z,CNBC,Technology
Databricks says it's valued at over $100 billion in latest funding round,"Databricks said that it's closing a funding round that will value the company at over $100 billion, up from $62 billion late last year.",https://www.cnbc.com/2025/08/19/databricks-valuation-over-100-billion.html,2025-08-19T19:18:28Z,CNBC,Technology
POLL: 71% Fear AI Will Put Too Many Out of Work...,WASHINGTON (Reuters) -Americans are deeply concerned over the prospect that advances in artificial intelligence could put swaths of the country out of work...,https://www.yahoo.com/news/articles/americans-fear-ai-permanently-displacing-100311478.html,2025-08-19T19:00:03Z,Yahoo Entertainment,Technology
Cisco (CSCO) Price Target Lowered to $64 Despite Strong AI Narrative,"Cisco Systems, Inc. (NASDAQ:CSCO) is one of the Buzzing AI Stocks on Wall Street. On August 14, Piper Sandler analyst James Fish lowered the price target on ...",https://finance.yahoo.com/news/cisco-csco-price-target-lowered-165113606.html,2025-08-19T16:51:13Z,Yahoo Entertainment,Technology
Dayforce (DAY) Soars 26% on Acquisition Reports,We recently published 10 Stocks Shine Brighter Than Wall Street. Dayforce Inc. (NYSE:DAY) is one of Monday’s top performers. Dayforce surged by 25.98 percent...,https://finance.yahoo.com/news/dayforce-day-soars-26-acquisition-164110875.html,2025-08-19T16:41:10Z,Yahoo Entertainment,Technology
