title,description,url,publishedAt,source
Pfizer (PFE) Releases Financial Results for Q2 2025,"Pfizer Inc. (NYSE:PFE) is one of the Most Undervalued Long Term Stocks to Buy According to Hedge Funds. On August 5, the company released its financial...",https://finance.yahoo.com/news/pfizer-pfe-releases-financial-results-034824110.html,2025-08-08T03:48:24Z,Yahoo Entertainment
"Eli Lilly's obesity pill led to around 12% weight loss in closely watched late-stage trial, paving way for approval","Eli Lilly's pill, orforglipron, is one step closer to becoming the first new, needle-free alternative in the booming market for weight loss and diabetes drugs.",https://www.cnbc.com/2025/08/07/eli-lilly-obesity-pill-weight-los-trial.html,2025-08-07T10:37:11Z,CNBC
"Earnings live: Snap stock plunges, Disney beats, Uber announces buybacks, McDonald's sales rebound","Second quarter earnings season is in full swing, and the results have been largely positive so far, with more positive surprises than negative ones.",https://finance.yahoo.com/news/live/earnings-live-snap-stock-plunges-disney-beats-uber-announces-buybacks-mcdonalds-sales-rebound-123011020.html,2025-08-06T12:30:11Z,Yahoo Entertainment
"Earnings live: Disney beats, Uber stock rises, McDonald's sales rebound","Second quarter earnings season is in full swing, and the results have been largely positive so far, with more positive surprises than negative ones.",https://finance.yahoo.com/news/live/earnings-live-disney-beats-uber-stock-rises-mcdonalds-sales-rebound-123011706.html,2025-08-06T12:30:11Z,Yahoo Entertainment
Novavax beats quarterly revenue estimates on milestone payment,"The company, which is shifting its focus to commercializing vaccine candidates through partnerships, had licensed the rights for its COVID-19 shot, Nuvaxovid...",https://finance.yahoo.com/news/novavax-beats-quarterly-revenue-estimates-120808809.html,2025-08-06T12:08:08Z,Yahoo Entertainment
"CDC Shooting Linked To Suspect's COVID-19 Vaccine Beliefs, Former Staff Blame RFK Jr. Hostility Toward Agency",A group of former U.S. Centers for Disease Control and Prevention (CDC) employees are blaming HHS Secretary Robert F. Kennedy Jr. for vilifying the agency’s ...,https://finance.yahoo.com/news/cdc-shooting-linked-suspects-covid-003108207.html,2025-08-15T00:31:08Z,Yahoo Entertainment
Activist Starboard buys more Salesforce stock after first demanding change in 2022,"NEW YORK (Reuters) -Activist Starboard Value, one of the first investors to publicly push Salesforce to make changes three years ago, increased its stake in ...",https://finance.yahoo.com/news/activist-starboard-buys-more-salesforce-230031601.html,2025-08-14T23:00:31Z,Yahoo Entertainment
"If You Invested $10K In Pfizer Stock 10 Years Ago, How Much Would You Have Now?","Pfizer Inc. (NYSE:PFE) discovers, develops, manufactures, and sells biopharmaceutical products in the U.S. and internationally. It is set to report its Q3...",https://finance.yahoo.com/news/invested-10k-pfizer-stock-10-120103086.html,2025-08-14T12:01:03Z,Yahoo Entertainment
Should You Now Consider Selling Your Pfizer (PFE) Shares Before its Too Late?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_1d4c1fbd-2a1e-4fee-a725-ca5b55e67797,2025-08-13T15:55:04Z,Yahoo Entertainment
